POB,Kids,Married,FSES,YNatStat,EdArea,EdAchv,Occ,School,RelBack,SocBG,Region,AgeJoin,Cjoin,PlJoin,risk
110,1,1,0,2,4,4,1,4,1,3,3.5,32,1,1,3
41,1,1,0,1,4,4,3,4,1,3,1.3,38,1,1,3
41,1,1,1,1,4,4,1,4,1,3,1.3,,1,1,3
41,1,1,1,1,,4,1,4,1,3,1.3,32,1,1,3
41,1,1,2,1,2,4,3,2,0,3,1.3,51,98,1,3
41,,1,0,1,4,4,1,4,1,3,1.3,34,98,1,3
110,,,,2,,,1,,,,3.5,18,1,1,3
41,,1,1,1,4,4,1,4,1,0,1.3,37,1,1,3
110,,,0,1,,,,,,,3.5,,,,3
41,1,1,1,1,4,4,1,4,1,3,1.3,35,1,1,3
41,,,1,1,4,4,3,4,1,3,1.3,33,1,1,3
41,1,1,1,1,4,4,1,4,1,3,1.3,29,1,1,3
41,1,1,1,1,4,4,1,4,1,3,1.3,32,1,1,3
71,1,1,1,2,4,4,3,4,1,3,3.5,24,98,1,3
71,1,1,1,3,4,4,3,4,1,,3.5,27,1,1,3
68,1,1,0,1,2,4,1,2,1,3,3.5,24,1,1,3
41,1,1,0,1,4,4,3,4,1,3,1.3,25,110,1,3
68,1,1,1,2,2,4,3,4,0,0,3.5,29,1,1,3
62,1,1,,,2,2,3,,0,,3.5,31,98,1,3
77,,,,,,,,,,,1.3,18,1,1,3
41,,,1,1,4,4,1,4,1,3,1.3,29,98,1,3
121,,1,,1,1,4,0,4,1,0,1.3,26,1,1,3
41,1,1,,1,,4,3,4,1,0,1.3,24,68,1,3
74,1,1,1,1,4,4,3,2,2,0,3.5,29,1,1,3
41,,,2,1,4,4,3,4,1,0,1.3,27,110,1,3
41,1,1,1,1,4,4,1,4,1,0,1.3,41,1,1,3
41,,,,1,3,4,1,4,1,3,1.3,29,121,1,3
71,1,1,,1,2,6,3,,,0,3.5,29,71,0,3
41,1,1,1,1,5,4,3,4,0,0,1.3,32,1,1,3
41,,1,,1,4,4,3,4,1,3,1.3,30,1,1,3
41,,,,1,4,4,3,4,1,3,1.3,32,18,1,3
41,1,1,1,1,4,4,1,4,0,3,1.3,34,1,1,3
41,1,1,,1,4,4,1,4,1,3,1.3,28,1,1,3
41,,,2,1,,,,4,1,0,1.3,26,1,1,3
41,,,,1,4,6,3,4,1,3,1.3,31,140,1,3
110,,,0,1,4,4,1,4,0,0,3.5,18,1,1,3
140,,,,1,,,,,,,3.5,,1,1,3
41,1,1,1,1,2,2,0,4,0,0,1.3,30,41,0,2
41,1,1,1,1,4,4,1,4,1,0,1.3,37,1,1,3
41,1,1,0,1,4,4,1,4,1,0,1.3,25,138,1,3
71,1,1,1,2,4,4,1,4,1,0,3.5,21,1,1,2
71,,,1,2,4,6,3,4,1,0,3.5,25,98,1,2
98,,1,1,1,1,4,0,4,1,0,3.3,22,1,1,2
98,,,1,2,,6,1,4,1,0,3.3,20,98,0,2
110,,,1,1,1,4,0,4,,0,3.5,21,110,0,2
110,,,1,1,1,4,0,4,,0,3.5,20,1,1,2
110,,,1,1,1,4,0,4,,0,3.5,23,1,1,2
110,,,1,1,1,4,0,4,,0,3.5,20,1,1,2
86,1,1,1,1,4,6,3,4,1,0,1.3,27,65,1,2
110,1,1,1,2,4,6,1,4,0,0,3.5,28,1,1,2
144,1,1,2,1,2,6,1,2,0,0,1.1,18,98,1,2
128,,,2,1,1,4,0,4,1,0,,21,128,0,2
136,1,1,0,2,4,6,1,4,1,0,4.2,20,18,0,2
84,,1,1,1,4,4,3,2,0,0,1.5,23,48,1,2
110,,,,1,1,0,,4,,,3.5,23,1,1,2
