pob,kids,married,fses,ynatstat,edarea,edachv,occ,school,relback,socbg,region,agejoin,cjoin,pljoin,risk
110.0,1,1,0,2.0,4.0,4,1,4.0,1.0,3.0,3.5,32.0,1.0,1.0,3.0
41.0,1,1,0,1.0,4.0,4,3,4.0,1.0,3.0,1.3,38.0,1.0,1.0,3.0
41.0,1,1,1,1.0,4.0,4,1,4.0,1.0,3.0,1.3,,1.0,1.0,3.0
41.0,1,1,1,1.0,,4,1,4.0,1.0,3.0,1.3,32.0,1.0,1.0,3.0
41.0,1,1,2,1.0,2.0,4,3,2.0,0.0,3.0,1.3,51.0,98.0,1.0,3.0
41.0,,1,0,1.0,4.0,4,1,4.0,1.0,3.0,1.3,34.0,98.0,1.0,3.0
110.0,,,,2.0,,,1,,,,3.5,18.0,1.0,1.0,3.0
41.0,,1,1,1.0,4.0,4,1,4.0,1.0,0.0,1.3,37.0,1.0,1.0,3.0
41.0,1,1,1,1.0,4.0,4,1,4.0,1.0,3.0,1.3,35.0,1.0,1.0,3.0
41.0,,,1,1.0,4.0,4,3,4.0,1.0,3.0,1.3,33.0,1.0,1.0,3.0
41.0,1,1,1,1.0,4.0,4,1,4.0,1.0,3.0,1.3,29.0,1.0,1.0,3.0
41.0,1,1,1,1.0,4.0,4,1,4.0,1.0,3.0,1.3,32.0,1.0,1.0,3.0
71.0,1,1,1,2.0,4.0,4,3,4.0,1.0,3.0,3.5,24.0,98.0,1.0,3.0
71.0,1,1,1,3.0,4.0,4,3,4.0,1.0,,3.5,27.0,1.0,1.0,3.0
68.0,1,1,0,1.0,2.0,4,1,2.0,1.0,3.0,3.5,24.0,1.0,1.0,3.0
41.0,1,1,0,1.0,4.0,4,3,4.0,1.0,3.0,1.3,25.0,110.0,1.0,3.0
68.0,1,1,1,2.0,2.0,4,3,4.0,0.0,0.0,3.5,29.0,1.0,1.0,3.0
62.0,1,1,,,2.0,2,3,,0.0,,3.5,31.0,98.0,1.0,3.0
41.0,,,1,1.0,4.0,4,1,4.0,1.0,3.0,1.3,29.0,98.0,1.0,3.0
121.0,,1,,1.0,1.0,4,0,4.0,1.0,0.0,1.3,26.0,1.0,1.0,3.0
41.0,1,1,,1.0,,4,3,4.0,1.0,0.0,1.3,24.0,68.0,1.0,3.0
74.0,1,1,1,1.0,4.0,4,3,2.0,2.0,0.0,3.5,29.0,1.0,1.0,3.0
41.0,,,2,1.0,4.0,4,3,4.0,1.0,0.0,1.3,27.0,110.0,1.0,3.0
41.0,1,1,1,1.0,4.0,4,1,4.0,1.0,0.0,1.3,41.0,1.0,1.0,3.0
41.0,,,,1.0,3.0,4,1,4.0,1.0,3.0,1.3,29.0,121.0,1.0,3.0
71.0,1,1,,1.0,2.0,6,3,,,0.0,3.5,29.0,71.0,0.0,3.0
41.0,1,1,1,1.0,5.0,4,3,4.0,0.0,0.0,1.3,32.0,1.0,1.0,3.0
41.0,,1,,1.0,4.0,4,3,4.0,1.0,3.0,1.3,30.0,1.0,1.0,3.0
41.0,,,,1.0,4.0,4,3,4.0,1.0,3.0,1.3,32.0,18.0,1.0,3.0
41.0,1,1,1,1.0,4.0,4,1,4.0,0.0,3.0,1.3,34.0,1.0,1.0,3.0
41.0,1,1,,1.0,4.0,4,1,4.0,1.0,3.0,1.3,28.0,1.0,1.0,3.0
